id,title,serial,manufacturer_name,frame_model,year,frame_colors,stolen,stolen_location,date_stolen
63379,2009 Kestrel Evoke SL,H30469,Kestrel,Evoke SL,2009,['Black'],True,"San Francisco,94105",1448258400
63327,1999 Cannondale CAAD3,absent,Cannondale,CAAD3,1999,"['Yellow or Gold', 'Black']",True,"San Francisco,94122",1448258400
64362,2015 Trek,wtu284c0360j,Trek,,2015,['White'],True,"Berkeley,94705",1448258400
63313,2010 Surly Long Haul Trucker,absent,Surly,Long Haul Trucker,2010,"['Silver or Gray', 'Black']",True,"San Francisco,94118",1448258400
63294,2010 Felt F75x,F005K0146,Felt,F75x,2010,"['Black', 'Green', 'White']",True,"San Francisco,94115",1448258400
63274,2015 Fuji Absolute 2.3,WBD229L2270K,Fuji,Absolute 2.3,2015,['Black'],True,"Berkeley,94702",1448245999
63427,Specialized Vita Sport,WSBC602057978H,Specialized,Vita Sport,,['Red'],True,"San Francisco,94103",1448172000
63290,2010 Origin8 Cane Uno,absent,Origin8,Cane Uno,2010,['Silver or Gray'],True,"Oakland,CA,94609",1448172000
63955,2005 Giant CypressDX,GY422472,Giant,CypressDX,2005,['Silver or Gray'],True,"Berkeley,94705",1448172000
63197,2015 Trek 7.5 FX,wtu089c6409j,Trek,7.5 FX,2015,['White'],True,"San Francisco,94110",1448129477
63231,2014 Cervélo 105,SNR3C13E00649,Cervélo,105,2014,['Silver or Gray'],True,"San Francisco,94107",1448085600
63232,2012 Felt F85,S2ET12743,Felt,F85,2012,['Blue'],True,"San Francisco,94158",1448085600
38724,2010 Traitor Ruben,560R0908049,Traitor,Ruben,2010,"['White', 'Black', 'Red']",True,"San Francisco,CA,94103",1448085600
63696,2015 Specialized Pitch 650B,WSBC606116656J,Specialized,Pitch 650B,2015,"['Black', 'White']",True,"San Francisco,94105",1447999200
63289,1981 Trek Tri-series,absent,Trek,Tri-series,1981,['Silver or Gray'],True,"San Francisco,CA,94103",1447999200
63158,Peugeot Competition 500,absent,Peugeot,Competition 500,,['Purple'],True,"San Francisco,94114",1447999200
63130,2010 Gary Fisher Wingra,WTU039C0361E,Gary Fisher,Wingra,2010,['Black'],True,"Oakland,94611",1447999200
63282,1993 Specialized Allez,absent,Specialized,Allez,1993,['Red'],True,"Oakland,94609",1447999200
63657,2015 Felt ZW85,f1506k1762,Felt,ZW85,2015,['Black'],True,"San Francisco,CA,94109",1447999200
63154,2014 Felt Z85,F1203K1007,Felt,Z85,2014,['Black'],True,"San Francisco,94114",1447999200
63134,2008 Giant Glory DH,absent,Giant,Glory DH,2008,['White'],True,"San Francisco,94132",1447912800
63198,2001 LeMond Racing Cycles Lemond Toumalet,absent,LeMond Racing Cycles,Lemond Toumalet,2001,"['Blue', 'Black']",True,"San Francisco,94115",1447912800
63165,2015 Giant ESCAPE 2,C53J0390,Giant,ESCAPE 2,2015,['Silver or Gray'],True,"San Francisco,94114",1447912800
63168,2009 Jamis Aurora,V89011876,Jamis,Aurora,2009,['Brown'],True,"Oakland,94606",1447912800
63050,2013 Bianchi Brava 2300 9sp Triple,absent,Bianchi,Brava 2300 9sp Triple,2013,['White'],True,"San Francisco,94110",1447826400
63076,2014 SCOTT Solace,SGR01F25213050266A,SCOTT,Solace,2014,"['Blue', 'White']",True,"San Francisco,94117",1447826400
63063,2006 Rock Lobster Track,#267,Rock Lobster,Track,2006,['Black'],True,"San Francisco,94110",1447826400
63032,Dawes Cycles Lightning,L12080906608,Dawes Cycles,Lightning,,['White'],True,"San Francisco,94110",1447826400
63070,2015 Giant Avail 5,absent,Giant,Avail 5,2015,"['White', 'Orange']",True,"San Francisco,94117",1447740000
62928,Cannondale Quick Sl 2,EM27749,Cannondale,Quick Sl 2,,['Blue'],True,"San Francisco,CA,94102",1447653600
63002,2015 Jamis Aurora Elite,WE5G00174,Jamis,Aurora Elite,2015,['Silver or Gray'],True,"San Francisco,94108",1447653600
62984,Marin Bikes Mill Valley Alph,F573GSB036,Marin Bikes,Mill Valley Alph,,['Black'],True,"San Francisco,94109",1447653600
62928,Cannondale Quick Sl 2,EM27749,Cannondale,Quick Sl 2,,['Blue'],True,"San Francisco,CA,94102",1447653600
62885,2015 Giant Escape 2,C4AD8000,Giant,Escape 2,2015,['Silver or Gray'],True,"San Francisco,CA,94103",1447653600
62929,Cannondale Quick Sl 2,EN14764,Cannondale,Quick Sl 2,,['Blue'],True,"San Francisco,CA,94102",1447653600
61564,2015 Mission Bicycles Sutro,M15051889,Mission Bicycles,Sutro,2015,['Black'],True,"Sausalito,CA,94965",1447567200
62890,2016 Diamondback Haanjo,U155K17100,Diamondback,Haanjo,2016,['Red'],True,"San Francisco,94109",1447567200
63049,2015 Specialized Sirrus Elite Carbon Disc,60410042K,Specialized,Sirrus Elite Carbon Disc,2015,"['Black', 'Blue']",True,"San Francisco,94112",1447567200
62889,2016 Diamondback Airen,U155K09910,Diamondback,Airen,2016,['Silver or Gray'],True,"San Francisco,CA,94109",1447567200
62895,Bianchi Lupo,WBK7341464,Bianchi,Lupo,,['Silver or Gray'],True,"San Francisco,CA",1447480800
62782,"1973 Peugeot Road/Touring 27""",absent,Peugeot,"Road/Touring 27""",1973,['White'],True,"San Francisco,94131",1447480800
62789,2011 Specialized Vita Elite,WSBC602357518F,Specialized,Vita Elite,2011,"['Black', 'Pink']",True,"San Francisco,94158",1447480800
62815,2015 Raleigh Cadent 2,U145K06978,Raleigh,Cadent 2,2015,['Silver or Gray'],True,"San Francisco,94117",1447394400
